,orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
115,10215,2004-01-29,2004-02-08,2004-02-01,Shipped,Customer requested that FedEx Ground is used for this shipping,475
116,10216,2004-02-02,2004-02-10,2004-02-04,Shipped,,256
117,10217,2004-02-04,2004-02-14,2004-02-06,Shipped,,166
118,10218,2004-02-09,2004-02-16,2004-02-11,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",473
119,10219,2004-02-10,2004-02-17,2004-02-12,Shipped,,487
120,10220,2004-02-12,2004-02-19,2004-02-16,Shipped,,189
121,10221,2004-02-18,2004-02-26,2004-02-19,Shipped,,314
122,10222,2004-02-19,2004-02-27,2004-02-20,Shipped,,239
123,10223,2004-02-20,2004-02-29,2004-02-24,Shipped,,114
124,10224,2004-02-21,2004-03-02,2004-02-26,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,171
125,10225,2004-02-22,2004-03-01,2004-02-24,Shipped,,298
126,10226,2004-02-26,2004-03-06,2004-03-02,Shipped,,239
127,10227,2004-03-02,2004-03-12,2004-03-08,Shipped,,146
128,10228,2004-03-10,2004-03-18,2004-03-13,Shipped,,173
129,10229,2004-03-11,2004-03-20,2004-03-12,Shipped,,124
130,10230,2004-03-15,2004-03-24,2004-03-20,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,128
131,10231,2004-03-19,2004-03-26,2004-03-25,Shipped,,344
132,10232,2004-03-20,2004-03-30,2004-03-25,Shipped,,240
133,10233,2004-03-29,2004-04-04,2004-04-02,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,328
134,10234,2004-03-30,2004-04-05,2004-04-02,Shipped,,412
135,10235,2004-04-02,2004-04-12,2004-04-06,Shipped,,260
136,10236,2004-04-03,2004-04-11,2004-04-08,Shipped,,486
137,10237,2004-04-05,2004-04-12,2004-04-10,Shipped,,181
138,10238,2004-04-09,2004-04-16,2004-04-10,Shipped,,145
139,10239,2004-04-12,2004-04-21,2004-04-17,Shipped,,311
140,10240,2004-04-13,2004-04-20,2004-04-20,Shipped,,177
141,10241,2004-04-13,2004-04-20,2004-04-19,Shipped,,209
142,10242,2004-04-20,2004-04-28,2004-04-25,Shipped,Customer is interested in buying more Ferrari models,456
143,10243,2004-04-26,2004-05-03,2004-04-28,Shipped,,495
144,10244,2004-04-29,2004-05-09,2004-05-04,Shipped,,141
145,10245,2004-05-04,2004-05-12,2004-05-09,Shipped,,455
146,10246,2004-05-05,2004-05-13,2004-05-06,Shipped,,141
147,10247,2004-05-05,2004-05-11,2004-05-08,Shipped,,334
148,10248,2004-05-07,2004-05-14,,Cancelled,Order was mistakenly placed. The warehouse noticed the lack of documentation.,131
149,10249,2004-05-08,2004-05-17,2004-05-11,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,173
150,10250,2004-05-11,2004-05-19,2004-05-15,Shipped,,450
151,10251,2004-05-18,2004-05-24,2004-05-24,Shipped,,328
152,10252,2004-05-26,2004-06-04,2004-05-29,Shipped,,406
153,10253,2004-06-01,2004-06-09,2004-06-02,Cancelled,"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.",201
154,10254,2004-06-03,2004-06-13,2004-06-04,Shipped,Customer requested that DHL is used for this shipping,323
155,10255,2004-06-04,2004-06-12,2004-06-09,Shipped,,209
156,10256,2004-06-08,2004-06-16,2004-06-10,Shipped,,145
157,10257,2004-06-14,2004-06-24,2004-06-15,Shipped,,450
158,10258,2004-06-15,2004-06-25,2004-06-23,Shipped,,398
159,10259,2004-06-15,2004-06-22,2004-06-17,Shipped,,166
160,10260,2004-06-16,2004-06-22,,Cancelled,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.,357
161,10261,2004-06-17,2004-06-25,2004-06-22,Shipped,,233
162,10262,2004-06-24,2004-07-01,,Cancelled,This customer found a better offer from one of our competitors. Will call back to renegotiate.,141
163,10263,2004-06-28,2004-07-04,2004-07-02,Shipped,,175
164,10264,2004-06-30,2004-07-06,2004-07-01,Shipped,Customer will send a truck to our local warehouse on 7/1/2004,362
165,10265,2004-07-02,2004-07-09,2004-07-07,Shipped,,471
166,10266,2004-07-06,2004-07-14,2004-07-10,Shipped,,386
167,10267,2004-07-07,2004-07-17,2004-07-09,Shipped,,151
168,10268,2004-07-12,2004-07-18,2004-07-14,Shipped,,412
169,10269,2004-07-16,2004-07-22,2004-07-18,Shipped,,382
170,10270,2004-07-19,2004-07-27,2004-07-24,Shipped,Can we renegotiate this one?,282
171,10271,2004-07-20,2004-07-29,2004-07-23,Shipped,,124
172,10272,2004-07-20,2004-07-26,2004-07-22,Shipped,,157
173,10273,2004-07-21,2004-07-28,2004-07-22,Shipped,,314
174,10274,2004-07-21,2004-07-29,2004-07-22,Shipped,,379
175,10275,2004-07-23,2004-08-02,2004-07-29,Shipped,,119
176,10276,2004-08-02,2004-08-11,2004-08-08,Shipped,,204
177,10277,2004-08-04,2004-08-12,2004-08-05,Shipped,,148
178,10278,2004-08-06,2004-08-16,2004-08-09,Shipped,,112
179,10279,2004-08-09,2004-08-19,2004-08-15,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",141
180,10280,2004-08-17,2004-08-27,2004-08-19,Shipped,,249
181,10281,2004-08-19,2004-08-28,2004-08-23,Shipped,,157
182,10282,2004-08-20,2004-08-26,2004-08-22,Shipped,,124
183,10283,2004-08-20,2004-08-30,2004-08-23,Shipped,,260
184,10284,2004-08-21,2004-08-29,2004-08-26,Shipped,Custom shipping instructions sent to warehouse,299
185,10285,2004-08-27,2004-09-04,2004-08-31,Shipped,,286
186,10286,2004-08-28,2004-09-06,2004-09-01,Shipped,,172
187,10287,2004-08-30,2004-09-06,2004-09-01,Shipped,,298
188,10288,2004-09-01,2004-09-11,2004-09-05,Shipped,,166
189,10289,2004-09-03,2004-09-13,2004-09-04,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,167
190,10290,2004-09-07,2004-09-15,2004-09-13,Shipped,,198
191,10291,2004-09-08,2004-09-17,2004-09-14,Shipped,,448
192,10292,2004-09-08,2004-09-18,2004-09-11,Shipped,They want to reevaluate their terms agreement with Finance.,131
193,10293,2004-09-09,2004-09-18,2004-09-14,Shipped,,249
194,10294,2004-09-10,2004-09-17,2004-09-14,Shipped,,204
195,10295,2004-09-10,2004-09-17,2004-09-14,Shipped,They want to reevaluate their terms agreement with Finance.,362
196,10296,2004-09-15,2004-09-22,2004-09-16,Shipped,,415
197,10297,2004-09-16,2004-09-22,2004-09-21,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,189
198,10298,2004-09-27,2004-10-05,2004-10-01,Shipped,,103
199,10299,2004-09-30,2004-10-10,2004-10-01,Shipped,,186
200,10300,2003-10-04,2003-10-13,2003-10-09,Shipped,,128
201,10301,2003-10-05,2003-10-15,2003-10-08,Shipped,,299
202,10302,2003-10-06,2003-10-16,2003-10-07,Shipped,,201
203,10303,2004-10-06,2004-10-14,2004-10-09,Shipped,Customer inquired about remote controlled models and gold models.,484
204,10304,2004-10-11,2004-10-20,2004-10-17,Shipped,,256
205,10305,2004-10-13,2004-10-22,2004-10-15,Shipped,Check on availability.,286
206,10306,2004-10-14,2004-10-21,2004-10-17,Shipped,,187
207,10307,2004-10-14,2004-10-23,2004-10-20,Shipped,,339
208,10308,2004-10-15,2004-10-24,2004-10-20,Shipped,Customer requested that FedEx Ground is used for this shipping,319
209,10309,2004-10-15,2004-10-24,2004-10-18,Shipped,,121
210,10310,2004-10-16,2004-10-24,2004-10-18,Shipped,,259
211,10311,2004-10-16,2004-10-23,2004-10-20,Shipped,Difficult to negotiate with customer. We need more marketing materials,141
212,10312,2004-10-21,2004-10-27,2004-10-23,Shipped,,124
213,10313,2004-10-22,2004-10-28,2004-10-25,Shipped,Customer requested that FedEx Ground is used for this shipping,202
214,10314,2004-10-22,2004-11-01,2004-10-23,Shipped,,227
215,10315,2004-10-29,2004-11-08,2004-10-30,Shipped,,119
216,10316,2004-11-01,2004-11-09,2004-11-07,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",240
217,10317,2004-11-02,2004-11-12,2004-11-08,Shipped,,161
218,10318,2004-11-02,2004-11-09,2004-11-07,Shipped,,157
219,10319,2004-11-03,2004-11-11,2004-11-06,Shipped,Customer requested that DHL is used for this shipping,456
220,10320,2004-11-03,2004-11-13,2004-11-07,Shipped,,144
221,10321,2004-11-04,2004-11-12,2004-11-07,Shipped,,462
222,10322,2004-11-04,2004-11-12,2004-11-10,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,363
223,10323,2004-11-05,2004-11-12,2004-11-09,Shipped,,128
224,10324,2004-11-05,2004-11-11,2004-11-08,Shipped,,181
225,10325,2004-11-05,2004-11-13,2004-11-08,Shipped,,121
226,10326,2004-11-09,2004-11-16,2004-11-10,Shipped,,144
227,10327,2004-11-10,2004-11-19,2004-11-13,Resolved,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.,145
228,10328,2004-11-12,2004-11-21,2004-11-18,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,278
229,10329,2004-11-15,2004-11-24,2004-11-16,Shipped,,131
230,10330,2004-11-16,2004-11-25,2004-11-21,Shipped,,385
231,10331,2004-11-17,2004-11-23,2004-11-23,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,486
232,10332,2004-11-17,2004-11-25,2004-11-18,Shipped,,187
233,10333,2004-11-18,2004-11-27,2004-11-20,Shipped,,129
234,10334,2004-11-19,2004-11-28,,On Hold,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,144
235,10335,2004-11-19,2004-11-29,2004-11-23,Shipped,,124
236,10336,2004-11-20,2004-11-26,2004-11-24,Shipped,Customer requested that DHL is used for this shipping,172
237,10337,2004-11-21,2004-11-30,2004-11-26,Shipped,,424
238,10338,2004-11-22,2004-12-02,2004-11-27,Shipped,,381
239,10339,2004-11-23,2004-11-30,2004-11-30,Shipped,,398
240,10340,2004-11-24,2004-12-01,2004-11-25,Shipped,Customer is interested in buying more Ferrari models,216
241,10341,2004-11-24,2004-12-01,2004-11-29,Shipped,,382
242,10342,2004-11-24,2004-12-01,2004-11-29,Shipped,,114
243,10343,2004-11-24,2004-12-01,2004-11-26,Shipped,,353
244,10344,2004-11-25,2004-12-02,2004-11-29,Shipped,,350
245,10345,2004-11-25,2004-12-01,2004-11-26,Shipped,,103
246,10346,2004-11-29,2004-12-05,2004-11-30,Shipped,,112
247,10347,2004-11-29,2004-12-07,2004-11-30,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,114
248,10348,2004-11-01,2004-11-08,2004-11-05,Shipped,,458
249,10349,2004-12-01,2004-12-07,2004-12-03,Shipped,,151
250,10350,2004-12-02,2004-12-08,2004-12-05,Shipped,,141
251,10351,2004-12-03,2004-12-11,2004-12-07,Shipped,,324
252,10352,2004-12-03,2004-12-12,2004-12-09,Shipped,,198
253,10353,2004-12-04,2004-12-11,2004-12-05,Shipped,,447
254,10354,2004-12-04,2004-12-10,2004-12-05,Shipped,,323
255,10355,2004-12-07,2004-12-14,2004-12-13,Shipped,,141
256,10356,2004-12-09,2004-12-15,2004-12-12,Shipped,,250
257,10357,2004-12-10,2004-12-16,2004-12-14,Shipped,,124
258,10358,2004-12-10,2004-12-16,2004-12-16,Shipped,Customer requested that DHL is used for this shipping,141
259,10359,2004-12-15,2004-12-23,2004-12-18,Shipped,,353
260,10360,2004-12-16,2004-12-22,2004-12-18,Shipped,,496
261,10361,2004-12-17,2004-12-24,2004-12-20,Shipped,,282
262,10362,2005-01-05,2005-01-16,2005-01-10,Shipped,,161
263,10363,2005-01-06,2005-01-12,2005-01-10,Shipped,,334
264,10364,2005-01-06,2005-01-17,2005-01-09,Shipped,,350
265,10365,2005-01-07,2005-01-18,2005-01-11,Shipped,,320
266,10366,2005-01-10,2005-01-19,2005-01-12,Shipped,,381
267,10367,2005-01-12,2005-01-21,2005-01-16,Resolved,This order was disputed and resolved on 2/1/2005. Customer claimed that container with shipment was damaged. FedEx's investigation proved this wrong.,205
268,10368,2005-01-19,2005-01-27,2005-01-24,Shipped,Can we renegotiate this one?,124
269,10369,2005-01-20,2005-01-28,2005-01-24,Shipped,,379
270,10370,2005-01-20,2005-02-01,2005-01-25,Shipped,,276
271,10371,2005-01-23,2005-02-03,2005-01-25,Shipped,,124
272,10372,2005-01-26,2005-02-05,2005-01-28,Shipped,,398
273,10373,2005-01-31,2005-02-08,2005-02-06,Shipped,,311
274,10374,2005-02-02,2005-02-09,2005-02-03,Shipped,,333
275,10375,2005-02-03,2005-02-10,2005-02-06,Shipped,,119
276,10376,2005-02-08,2005-02-18,2005-02-13,Shipped,,219
277,10377,2005-02-09,2005-02-21,2005-02-12,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",186
278,10378,2005-02-10,2005-02-18,2005-02-11,Shipped,,141
279,10379,2005-02-10,2005-02-18,2005-02-11,Shipped,,141
280,10380,2005-02-16,2005-02-24,2005-02-18,Shipped,,141
281,10381,2005-02-17,2005-02-25,2005-02-18,Shipped,,321
282,10382,2005-02-17,2005-02-23,2005-02-18,Shipped,Custom shipping instructions sent to warehouse,124
283,10383,2005-02-22,2005-03-02,2005-02-25,Shipped,,141
284,10384,2005-02-23,2005-03-06,2005-02-27,Shipped,,321
285,10385,2005-02-28,2005-03-09,2005-03-01,Shipped,,124
286,10386,2005-03-01,2005-03-09,2005-03-06,Resolved,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,141
287,10387,2005-03-02,2005-03-09,2005-03-06,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,148
288,10388,2005-03-03,2005-03-11,2005-03-09,Shipped,,462
289,10389,2005-03-03,2005-03-09,2005-03-08,Shipped,,448
290,10390,2005-03-04,2005-03-11,2005-03-07,Shipped,They want to reevaluate their terms agreement with Finance.,124
291,10391,2005-03-09,2005-03-20,2005-03-15,Shipped,,276
292,10392,2005-03-10,2005-03-18,2005-03-12,Shipped,,452
293,10393,2005-03-11,2005-03-22,2005-03-14,Shipped,They want to reevaluate their terms agreement with Finance.,323
294,10394,2005-03-15,2005-03-25,2005-03-19,Shipped,,141
295,10395,2005-03-17,2005-03-24,2005-03-23,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,250
296,10396,2005-03-23,2005-04-02,2005-03-28,Shipped,,124
297,10397,2005-03-28,2005-04-09,2005-04-01,Shipped,,242
298,10398,2005-03-30,2005-04-09,2005-03-31,Shipped,,353
299,10399,2005-04-01,2005-04-12,2005-04-03,Shipped,,496
300,10400,2005-04-01,2005-04-11,2005-04-04,Shipped,Customer requested that DHL is used for this shipping,450
301,10401,2005-04-03,2005-04-14,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,328
302,10402,2005-04-07,2005-04-14,2005-04-12,Shipped,,406
303,10403,2005-04-08,2005-04-18,2005-04-11,Shipped,,201
304,10404,2005-04-08,2005-04-14,2005-04-11,Shipped,,323
305,10405,2005-04-14,2005-04-24,2005-04-20,Shipped,,209
306,10406,2005-04-15,2005-04-25,2005-04-21,Disputed,Customer claims container with shipment was damaged during shipping and some items were missing. I am talking to FedEx about this.,145
307,10407,2005-04-22,2005-05-04,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,450
308,10408,2005-04-22,2005-04-29,2005-04-27,Shipped,,398
309,10409,2005-04-23,2005-05-05,2005-04-24,Shipped,,166
310,10410,2005-04-29,2005-05-10,2005-04-30,Shipped,,357
311,10411,2005-05-01,2005-05-08,2005-05-06,Shipped,,233
312,10412,2005-05-03,2005-05-13,2005-05-05,Shipped,,141
313,10413,2005-05-05,2005-05-14,2005-05-09,Shipped,Customer requested that DHL is used for this shipping,175
314,10414,2005-05-06,2005-05-13,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,362
315,10415,2005-05-09,2005-05-20,2005-05-12,Disputed,Customer claims the scales of the models don't match what was discussed. I keep all the paperwork though to prove otherwise,471
316,10416,2005-05-10,2005-05-16,2005-05-14,Shipped,,386
317,10417,2005-05-13,2005-05-19,2005-05-19,Disputed,Customer doesn't like the colors and precision of the models.,141
318,10418,2005-05-16,2005-05-24,2005-05-20,Shipped,,412
319,10419,2005-05-17,2005-05-28,2005-05-19,Shipped,,382
320,10420,2005-05-29,2005-06-07,,In Process,,282
321,10421,2005-05-29,2005-06-06,,In Process,Custom shipping instructions were sent to warehouse,124
322,10422,2005-05-30,2005-06-11,,In Process,,157
323,10423,2005-05-30,2005-06-05,,In Process,,314
324,10424,2005-05-31,2005-06-08,,In Process,,141
325,10425,2005-05-31,2005-06-07,,In Process,,119
